@relation 'C__Users_GHANSHYAM_Desktop_Project_reviews Segregated-weka.filters.unsupervised.attribute.Remove-R2'

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'AIMS is yet to show its full potential, expectations are high but for now it\'s not the best college to be in. ',neg
'In 2010 major recruiters were: TCS, Reliance,ZyanGenerally L & T, Wipro, Infosys, Godrej & Boyce, Tata Motors, etc. are few of the companies that visit this campus to meet their requirement of engineers. But don\'t go by the name of the companies, because the number of students placed is just around 50\%. In the recession year 2009, they fell down to 20\%. Average salary offered is around Rs. 2.4 lac p.a. ',neg
'As for placements, 10 students were selected out of 60 in campus. So you will either have to stand out of other students or will have to look for off-campus placements. ',neg
'diploma is rather worse than the degree',neg
'The food quality and taste is poor and it is advisable to carry your own tiffin. ',neg
'Canteen food may cause food poison so never prefer eating from there. ',neg
'no place to hang out ',neg
'Due to the religious minority quota, majority of the crowd is Muslim. ',neg
'People with 90\% minority and 2 uniform dress (Only Shirts provided and black pants of our choice along with civil dress on Friday) ',neg
'Fest are pathetic they don\'t sponsor for fest. ',neg
'Paid HEAVY capitation fees and left college. the strictness in the air, the rules and regulations......boy oh boy...it\'s a school... take my word keep it as your last option... VERY STRICT ',neg
'I\'m studying in this college. It provides awesome facilities but the teaching staff is the worst staff in the world. They are over pressuring students and give very poor internal marks. It affects on our \% score and teachers are not friendly. Shame on them, but they can\'t hide it from the ALMIGHTY. He will punish them for it. ',neg
'College is too strict about attendance and if students fail to maintain 75\%, parents are called up. ',neg
'HORRENDOUS crowd : YOU CANT LIVE WITH THEM.Students talk in marathi too. ',neg
'the festivals part is a joke. No one really cares except those who come from muncipality marathi medium school who have never had an annual day in their life.I still have 3 years left in college. I hope I survive. ',neg
'Teachers talk in marathi. Teachers dont know shit about what they teach. ',neg
'The wifi connectivity does not work ',neg
'The college is not in malad. Its in effin kandivali. Its not 15 mins away from station. It takes forever to reach there. ',neg
'Canteen facilities have worsened ',neg
'I recently joined this college in the Mechanical Stream. Since 80\% of the crowd are Maharashtrians professors teand to switch to the local language during lectures. This inconveniences students like me who aren\'t too comfortable with Marathi. ',neg
'college fest is not that good ',neg
'Companies like TCS, Siemens and L&T Infotech usually come to recruit students, and the placements as a whole are pretty average. Chemical & IT had better placements than other branches. Hardly 35\% to 40\% students managed to get placed during 2013. Before that about 70-75\% of students got placed, with the average package being roughly Rs 2.8 Lakh per annum. ',neg
'no campus recruitment at all(don\'t look at notice board-its all misleading thats just to take your admission) ',neg
'Professors lack skills and vocabulary. ',neg
'I am a FE computer engineering student. I tell you guys do not believe the comments above. it is a third class college. illiterate teachers, worst crowd, telling from bottom of my heart ',neg
'hostel rooms feel congested (but one can manage with it) but due to the just one common bathroom on each floor, its a huge turn-off.',neg
'They have become really strict about attendance at Bharati Vidyapeeth College of Engineering, especially in the first year. There may be problems at the time of submissions and even parents may be called. There are even chances of getting detained if it\'s too low. ',neg
'attadance is very strict so you cant enjoy college life here.. ',neg
'They have great knowledge about the subjects. But there are only a bunch of Professors who can actually deliver the lecture in an interesting way. ',neg
'It’s sad !! The attendance is very strict. The minimum criterion of 75\% needs to be fulfilled in general, but out here you need NINETY PERCENT !!(90\%). Holy crap!! ',neg
'Really far for people coming from South Mumbai or the Western Suburbs. Nearest Rly. Stn is C.B.D. Belapur—about 10 minutes from the college on foot. ',neg
'This is a major drawback. The students do participate in the intercollegiate festivals as well the IPA festivals, but the college itself has no festival. Its just every alternate year that a fest kind of thing is held. It also has the alumni meet. ',neg
'Quite a few students get recruitment offers directly after the Final (Fourth) Year B. Pharm., but it is advisable to complete a Masters or an MBA or some other degree. B. Pharm by itself cannot fetch you a good job. ',neg
'Students are not at all satisfied with the professors who they claim are dispirited because of their low salaries. There are just two or three permanent faculties and the rest keep changing. ',neg
'We don\'t know why the college is called what it is, but the city of Mumbai is not even remotely as dead as this college is. You should avoid it at all costs. ',neg
'Worst college, even for students as well as for working faculty... no support, lacks proper working coandition & even library not upthated... even students plays politics with staff & teachers... absolutely no use... waste of money especially for professional courses as on specialization is provided nor lectures are taken on time ',neg
'No part of the arts, science and commerce section is air-conditioned. The minuscule library is only as big as two classrooms put together, but fortunately enough books available for the students. The computer lab is nothing great; a considerable number of computers don\'t work. ',neg
'Mumbai College of Arts, Commerce and Science is pretty lenient about attendance. There are CCTVs installed in every class but the only purpose they serve is showing off. The college absolutely doesn\'t care about attendance. ',neg
'It reminds you of an inter state bus terminal of some godforsaken village in India. It\'s small, cramped, crowded and pretty expensive taking it\'s condition into consideration. ',neg
